APOLLO;TT_BIAS(K);CALI_START;CALI_END;REF
001;0.10;20190710;20190807;WMH
002;0.34;20190710;20190807;WMH
003;0.10;20190710;20190807;WMH
004;-0.22;20190710;20190807;WMH
005;-0.04;20190710;20190807;WMH
006;-0.77;20190710;20190807;WMH
007;-0.05;20190710;20190807;WMH
008;0.17;20190710;20190807;WMH
009;0.08;20190710;20190807;WMH
010;0.10;20190710;20190807;WMH
011;-0.01;20190710;20190807;WMH
012;-0.17;20190710;20190807;WMH
013;-0.27;20190710;20190807;WMH
014;0.28;20190710;20190807;WMH
015;-0.16;20190710;20190807;WMH
016;-0.39;20190710;20190807;WMH
017;-0.03;20190710;20190807;WMH
018;-0.16;20190710;20190807;WMH
019;-0.05;20190710;20190807;WMH
020;-0.28;20190710;20190807;WMH
021;;;;
022;;;;
023;-0.23;20200331;20200410;WXT08
024;-0.05;20200515;20200525;WXT08
025;0.0;20200424;20200502;WXT08
026;0.12;20200514;20200525;WXT08
027;0.01;20200424;20200505;WXT08
028;0.01;20200331;20200412;WXT08
029;-0.29;20200331;20200412;WXT08
030;0.03;20200510;20200520;WXT08
031;0.03;20200331;20200412;WXT08
032;0.33;20200331;20200411;WXT08
033;0.01;20200424;20200504;WXT08
034;;;;
035;;;;
036;-0.11;20200331;20200414;WXT08
037;0.04;20200331;20200410;WXT08
038;0.14;20200331;20200413;WXT08
039;-0.02;20200331;20200410;WXT08
040;0.02;20200501;20200506;WXT08
041;-0.03;20200331;20200411;WXT08
042;0.06;20200331;20200411;WXT08
043;-0.04;20200501;20200511;WXT08
044;0.23;20200416;20200429;WXT08
045;-0.11;20200331;20200408;WXT08
046;0.15;20200331;20200413;WXT08
047;0.09;20200331;20200409;WXT08
048;0.04;20200331;20200409;WXT08
049;-0.23;20200331;20200405;WXT08
050;0.01;20200508;20200518;WXT08
051;0.06;20210917;20210929;WXT08
052;0.07;20200331;20200413;WXT08
053;0.19;20200424;202000504;WXT08
054;0.07;20200501;20200512;WXT08
055;-0.39;20200416;20200422;WXT08
056;0.12;20200516;20200526;WXT08
057;-0.18;20200508;20200512;WXT08
058;0.08;20200514;20200524;WXT08
059;-0.07;20210917;20210918;WXT08
060;;;;
061;0.03;20200514;20200522;WXT08
062;;;;
063;-0.05;20200527;20200606;WXT08
064;0.30;20200527;20200607;WXT08
065;0.01;20210917;20210929;WXT08
066;-0.02;20200603;20200613;WXT08
067;;;; 
#067;14.98;20200603;20200613;WXT08
068;-0.09;20210917;20210929;WXT08
069;0.36;20200527;20200606;WXT08
070;;;;
071;-0.07;20200501;20200511;WXT08
072;0.0;20200527;20200607;WXT08
073;0.14;20200527;20200606;WXT08
074;-0.08;20200514;20200526;WXT08
075;-0.22;20200527;20200607;WXT08
076;0.02;20200514;20200525;WXT08
077;0.09;20200501;20200509;WXT08
078;0.26;20200516;20200525;WXT08
079;;;;
080;0.09;20200514;20200525;WXT08
081;;;;
082;;;;
083;0.03;20200603;20200614;WXT08
084;-0.15;20200527;20200608;WXT08
085;-0.05;20200527;20200607;WXT08
086;-0.08;20200527;20200607;WXT08
087;-0.20;20200527;20200606;WXT08
088;0.08;20200527;20200606;WXT08
089;;;;
090;-0.09;20210917;20210929;WXT08
091;-0.07;20200424;20200505;WXT08
092;-0.02;20200527;20200606;WXT08
093;0.03;20200424;20200506;WXT08
094;-0.02;20200527;20200607;WXT08
095;0.07;20200527;20200608;WXT08
096;0.10;20200515;20200525;WXT08
097;;;;
098;-0.10;20210917;20210929;WXT08
099;0.07;20200515;20200526;WXT08
100;;;;
101;-0.01;20200514;20200526;WXT08
102;-0.02;20200515;20200524;WXT08
103;;;;
104;-0.07;20200603;20200613;WXT08
105;-0.24;20210917;20210929;WXT08
106;-0.20;20200603;20200613;WXT08
107;0.04;20200514;20200525;WXT08
108;-0.20;20210917;20210929;WXT08
109;-0.22;20200514;20200525;WXT08
110;-0.05;20200604;20200613;WXT08
