#APOLLO;Serial
001;641064310410E3
002;18893810410E3
003;C0704310410E3
004;30E73710410E3
005;08734310410E3
006;58E43710410E3
007;00883810410E3
008;5C774310410E3
009;7C724310410E3
010;20E53710410E3
011;C8F53710410E3
012;4CD103710410E3
013;40E23710410E3
014;E0883810410E3
015;F4983810410E3
016;1CDF3710410E3
017;94ED3710410E3
018;90D103710410E3
019;F4724310410E3
020;D0E33710410E3
021;3C883810410E30
022;DCE43710410E30
023;6C774310410E30
024;D4734310410E3
025;10CE23710410E3
026;3C734310410E30
027;74E23710410E30
028;50734310410E30
029;20E93710410E30
030;90724310410E30
031;C4E13710410E30
032;E4714310410E30
033;78774310410E30
034;C4EB710410E30
035;114883810410E30
036;DCEC3710410E30
037;68714310410E30
038;78724310410E30
039;384D3810410E30
040;EC873810410E30
041;FCE33710410E30
042;118E13710410E30
043;5CDF3710410E30
044;04E43710410E30
045;44E43710410E30
046;108734310410E30
047;118774310410E30
048;104E53710410E30
049;20E43710410E30
050;14DF3710410E30
051;58F23710410E30
052;30774310410E30
053;114E13710410E30
054;C41094310410E30
055;60E33710410E30
056;58E23710410E30
057;D8EC3710410E30
058;94774310410E30
059;28794310410E30
060;D07D4310410E3
061;30714310410E30
062;24784310410E30
063;54724310410E30
064;00744310410E30
065;F0734310410E30
066;1C993810410E30
067;54E103710410E30
068;90883810410E30
069;00734310410E30
070;F4E83710410E30
071;98D103710410E30
072;38E23710410E30
073;0CE33710410E30
074;F8403810410E30
075;347D4310410E30
076;08E43710410E30
077;941094310410E30
078;100794310410E30
079;4C744310410E30
080;110453810410E30
081;18413810410E30
082;D0E13710410E30
083;24764310410E30
084;74E53710410E30
085;110F23710410E30
086;28E33710410E30
087;80E13710410E30
088;D4E23710410E30
089;D8714310410E30
090;0010D4310410E30
091;6CE93710410E30
092;98E63710410E30
093;114EC3710410E30
094;18774310410E30
095;7C734310410E30
096;C06E4310410E30
097;E4274310410E30
098;1CE43710410E30
099;98724310410E30
100;60710410410E30
101;48794310410E30
102;E0734310410E30
103;18714310410E30
104;70D103710410E30
105;11C483810410E30
106;98ED3710410E30
107;78ED3710410E30
108;287D3810410E30
109;38724310410E30
110;68E103710410E30
